iso2,iso3,license,source,url
KE,KEN,"Public Domain","RCMRD GeoPortal, Africa GeoPortal",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/KEN/ADM1/geoBoundaries-KEN-ADM1.geojson
LY,LBY,"Public Domain","Natural Earth",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LBY/ADM1/geoBoundaries-LBY-ADM1.geojson
LB,LBN,"Public Domain","geoBoundaries, Wikimedia Commons",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LBN/ADM1/geoBoundaries-LBN-ADM1.geojson
NP,NPL,"CC BY 3.0 IGO","Survey Department of Nepal, OCHA FISS",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/NPL/ADM1/geoBoundaries-NPL-ADM1.geojson
NO,NOR,"CC BY 4.0","Kartverket",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/NOR/ADM1/geoBoundaries-NOR-ADM1.geojson
CI,CIV,"CC BY 4.0","World Bank Group, OCHA Côte d’Ivoire",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/CIV/ADM1/geoBoundaries-CIV-ADM1.geojson
ZA,ZAF,"CC BY 3.0 IGO","OCHA ROSEA, South African Municipal Demarcation Board",https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZAF/ADM1/geoBoundaries-ZAF-ADM1.geojson
